epoch,layer,epoch_mean_update,epoch_std_update,optimizer,run
1,linear,0.005079677807502302,0.0014000151867278765,SGD,1
2,linear,0.004244528560031112,0.0009387520575540914,SGD,1
3,linear,0.0038630151351020194,0.0007617292427887372,SGD,1
4,linear,0.0033894433049489526,0.0007603887712414297,SGD,1
5,linear,0.002957522529453886,0.0006558712013475615,SGD,1
1,conv1,0.008345684517022894,0.003195376962052182,ADAMW,1
2,conv1,0.009487460776451092,0.0014432416374833225,ADAMW,1
3,conv1,0.009450412375066167,0.0014521188127634465,ADAMW,1
4,conv1,0.00864985373590041,0.0013002513060063994,ADAMW,1
5,conv1,0.00870528602996445,0.0011694191963087432,ADAMW,1
1,bn1,0.0022095716746739456,0.0008166672130204245,ADAMW,1
2,bn1,0.0024756390687975874,0.00029799285253025577,ADAMW,1
3,bn1,0.0022989352023656496,0.00029954623030868747,ADAMW,1
4,bn1,0.0022450761577289652,0.00027001376116211244,ADAMW,1
5,bn1,0.002384779595155482,0.0002666110951250881,ADAMW,1
1,layer1,0.05761102434718757,0.036283062608425225,ADAMW,1
2,layer1,0.06365036416218346,0.006702052075435965,ADAMW,1
3,layer1,0.06533074336291951,0.005297614645374712,ADAMW,1
4,layer1,0.06713227908397183,0.0056219164502034555,ADAMW,1
5,layer1,0.0708126257507199,0.004543647795162616,ADAMW,1
1,layer2,0.10294317958063973,0.08512783573656013,ADAMW,1
2,layer2,0.11517124199432832,0.012727518303176283,ADAMW,1
3,layer2,0.1318035991817432,0.00964432569392061,ADAMW,1
4,layer2,0.14034793577682983,0.010007068690246814,ADAMW,1
5,layer2,0.1500757221583911,0.011108321834890892,ADAMW,1
1,layer3,0.22757648898300117,0.21632080707028326,ADAMW,1
2,layer3,0.2614131336959811,0.028470034140929266,ADAMW,1
3,layer3,0.30318797182365487,0.027193981341341468,ADAMW,1
4,layer3,0.34224279770306654,0.023808298360770558,ADAMW,1
5,layer3,0.36583420528955735,0.029160968928936378,ADAMW,1
1,layer4,0.3085108302967907,0.2999431835917829,ADAMW,1
2,layer4,0.3301740373836265,0.029008782593908846,ADAMW,1
3,layer4,0.38472118368145525,0.028288733300225924,ADAMW,1
4,layer4,0.41755737504601825,0.027120708469147384,ADAMW,1
5,layer4,0.44529523824261885,0.028643574361657882,ADAMW,1
1,linear,0.01095390978307896,0.005177873280352429,ADAMW,1
2,linear,0.010388134967540735,0.001834719907772339,ADAMW,1
3,linear,0.010307556533814112,0.0017822060279265688,ADAMW,1
4,linear,0.010142291798649405,0.001672653202238858,ADAMW,1
5,linear,0.009974314769947626,0.0015509438182458601,ADAMW,1
